Status,Event_Date,Start_Time,End_Time,Type,Description,Borough,LocationofEvent,EventAddress,ActualParticipants,Postcode,Latitude,Longitude,CommunityBoard,CouncilDistrict ,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Completed (59),12/5/2019,10:00 AM,12:00 PM,RNY General Presentation (GEN),RNY Presentation for Special Education Students,Bronx,Jeffrey M Rapport High School,921 E 228th Street,90,10466,40.887831,-73.852694,212,12,2064589,2048640035,404,BX1201
Completed (59),12/5/2019,11:00 AM,12:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL Workshop,Brooklyn,Pacific Library,25 5th Ave,25,11217,40.682447,-73.976348,306,39,3018408,3009290001,12902,BK0602
Completed (59),12/5/2019,9:00 AM,12:00 PM,RNY for Kids (KIDS),Ready Girl,Bronx,Rose Hill Pre-Center,2490 webster ave,100,10458,40.860854,-73.892217,206,15,2094608,2030330004,38304,BX0603
Completed (59),12/5/2019,8:45 AM,11:15 AM,RNY for Kids (KIDS),Emergency Preparedness,Queens,PS 024 Auditorium,45-57 Union Street,1080,11355,40.75207,-73.818789,407,20,4607475,4052010021,1205,QN0705
Completed (59),12/5/2019,9:00 AM,2:00 PM,RNY Fair (FAIR),Annual Bilingual Head Start Partnership Expo 2019,Manhattan,440 East 116 Street,440 East 116 Street,25,10029,40.795402,-73.934005,111,8,1081443,1017090016,178,MN1102
Completed (59),12/6/2019,9:00 AM,12:00 PM,RNY for Kids (KIDS),Ready Girl,Bronx,Charter School 44,1825 Prospect Avenue,300,10457,40.842084,-73.891116,206,15,2009957,2029490064,36902,BX0602
Completed (59),12/6/2019,9:45 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Bronx,PS 48,1290 Spofford Ave,100,10474,40.814425,-73.886953,202,17,2006680,2027660001,9301,BX0201
Completed (59),12/7/2019,9:00 AM,2:00 PM,RNY Fair (FAIR),RNY ESOL Fair,Manhattan,PS/MS 57 James Weldon Johnson,176 Giglio Way,70,,,,,,,,,
Completed (59),12/7/2019,10:00 AM,2:00 PM,RNY Fair (FAIR),Housing Resource Forum,Brooklyn,PS 152,725 E 23rd St,60,11210,40.632562,-73.954724,314,45,3205780,3075510026,772,BK1401
Completed (59),12/8/2019,11:00 AM,3:00 PM,RNY Fair (FAIR),Van Cortlandt Jewish Center Bazaar/Carnival,Bronx,Van Cortlandt Jewish Center,3880 Sedgwick Ave,50,10463,40.882997,-73.894008,208,11,2086830,2032460076,409,BX0702
Completed (59),12/9/2019,12:45 PM,2:45 PM,RNY General Presentation (GEN),RNY Presentation,Manhattan,Beatrice Lewis Senior Center,2322 3rd Avenue,40,10035,40.804465,-73.93526,111,8,1054497,1017750033,242,MN1102
Completed (59),12/10/2019,10:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Bronx,Barrier Free Living Apartments,687 East 138th Street,2,10454,40.805225,-73.913709,201,8,2003811,2025670013,2702,BX0101
Completed (59),12/10/2019,12:00 PM,1:00 PM,RNY General Presentation (GEN),ESOL/Notify Workshop,Queens,Queens Community House,108-25 62nd Dr,35,11375,40.73591,-73.850212,406,24,4432108,4021590015,745,QN0602
Completed (59),12/11/2019,8:30 AM,10:00 AM,RNY General Presentation (GEN),Parent Workshop,Bronx,P.S. 73,1020 Anderson Avenue,5,10452,40.832706,-73.926838,204,16,2003051,2025040082,189,BX0402
Completed (59),12/11/2019,3:15 PM,5:15 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Brooklyn,JASA Scheuer House of Coney Island Senior Center,3601 Surf Ave.,30,11224,40.573144,-74.001587,313,47,3321762,3070450031,342,BK1302
Completed (59),12/11/2019,9:00 AM,12:25 PM,RNY for Kids (KIDS),Emergency Preparedness for High School,Queens,Information Technology High School,21-16 44th Road,450,11101,40.748701,-73.94638,402,26,4005184,4004380026,1903,QN0201
Completed (59),12/11/2019,6:30 PM,8:30 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Restoration Plaza,1368 Fulton Street � Lower Level,67,11216,40.680175,-73.945717,303,36,3053786,3018620014,247,BK0301
Completed (59),12/12/2019,9:00 AM,11:00 AM,RNY General Presentation (GEN),NYC General Ready for Immigrant Community,Bronx,PS 25X 1st Floor,811 E 149th St,10,10455,40.812619,-73.906063,201,8,2004772,2026640001,79,BX0102
Completed (59),12/12/2019,11:00 AM,12:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL Workshop,Brooklyn,Kings Highway Library,2115 Ocean Ave,25,11229,40.610054,-73.953417,315,48,3182576,3067830068,550,BK1502
Completed (59),12/12/2019,10:30 AM,12:30 PM,RNY General Presentation (GEN),Winter Preparedness for U.N. Staff,Manhattan,United Nations,46th Street & 1st Avenue,100,,,,,,,,,
Completed (59),12/12/2019,8:45 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,Bay Ridge Elementary School for the Arts,371 89th street,500,11209,40.620957,-74.03015,310,47,3413664,3060620141,60,BK1001
Completed (59),12/12/2019,8:10 AM,10:45 AM,RNY for Kids (KIDS),Emergency Preparedness for Kids,Brooklyn,PS 116K,515 Knickerbocker Avenue,350,11237,40.697779,-73.916521,304,37,3075909,3033170001,433,BK0402
Completed (59),12/12/2019,8:30 AM,10:45 AM,RNY for Kids (KIDS),Emergency Preparedness For ELL Students,Bronx,PS 111 Seton Falls,370 Baychester Avenue,650,10475,40.868268,-73.831492,210,12,,,46205,BX1004
Completed (59),12/12/2019,12:30 PM,3:45 PM,RNY for Kids (KIDS),Emergency Preparedness for High School,Queens,Information Technology High School,21-16 44th Road,450,11101,40.748701,-73.94638,402,26,4005184,4004380026,1903,QN0201
Completed (59),12/12/2019,9:00 AM,1:00 PM,RNY Fair (FAIR),Emergency Preparedness Conference for Nursing Homes,Manhattan,Long Island Marriott,101 James Doolittle Boulevard,145,,,,,,,,,
Completed (59),12/16/2019,9:00 AM,10:00 AM,RNY General Presentation (GEN),School Safety Committee Meeting,Queens,Principal Conference Room,21-16 44th Road,25,11101,40.748701,-73.94638,402,26,4005184,4004380026,1903,QN0201
Completed (59),12/16/2019,9:00 AM,12:00 AM,RNY for Kids (KIDS),Ready NY for Kids,Brooklyn,PS274K The Kosciuzsko School,800 Bushwick Ave,150,11221,40.694921,-73.927931,304,34,3073752,3032410037,393,BK0401
Completed (59),12/16/2019,9:30 AM,10:15 AM,RNY for Kids (KIDS),Ready NY for Tweens,Queens,IS 77,976 Seneca Avenue,250,11385,40.699516,-73.90214,405,34,4085922,4035630023,555,QN0502
Completed (59),12/17/2019,2:00 PM,4:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Manhattan,Retirees Local 371,1501 Broadway,50,10036,40.757103,-73.986193,105,3,1024706,1010150029,119,MN0502
Completed (59),12/17/2019,5:00 PM,6:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL Workshop,Brooklyn,Canarsie Library,1580 Rockaway Parkway,10,11236,40.642307,-73.899179,318,46,3230120,3082040068,966,BK1803
Completed (59),12/17/2019,1:00 PM,3:00 PM,RNY General Presentation (GEN),General Counsel�s Meeting,Manhattan,Law Department,100 Church St,15,10007,40.712968,-74.00949,101,1,1001409,1001250020,21,MN0102
Completed (59),12/18/2019,3:15 PM,5:15 PM,RNY General Presentation (GEN),Emergency Preparedness for Seniors,Manhattan,GOLES (Good Old Lower East Side),535 East 5th Street,18,10009,40.724484,-73.983487,103,2,1087322,1004010046,32,MN0303
Completed (59),12/18/2019,11:30 AM,2:30 PM,RNY General Presentation (GEN),Manhattan,Manhattan,Grand Street Settlement,72 Columbia Street,20,10002,40.717007,-73.980268,103,2,1078043,1003230001,1002,MN0302
Completed (59),12/18/2019,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Bronx,Rose Hill Pre-K Center,3560 Webster Avenue,25,10467,40.880854,-73.87065,212,11,2128358,2033607501,43501,BX1201
Completed (59),12/19/2019,5:30 PM,6:45 PM,RNY General Presentation (GEN),Parent Association Presentation,Bronx,Bronx Early College Academy,250 East 164th Street room 411,12,10456,40.828696,-73.917668,204,16,2002497,2024460043,18302,BX0401
Completed (59),12/19/2019,12:15 PM,1:15 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation - Kingsboro Psychiatric Center,Brooklyn,Office of Mental Health - Kingsboro Psychiatric Center,681 Clarkson Avenue,4,11203,40.656255,-73.936608,309,40,3338977,3046170001,808,BK0902
Completed (59),12/20/2019,8:30 AM,10:00 AM,RNY for Kids (KIDS),Ready Girl,Queens,P.S. 214Q Auditorium,"31-15 140th Street
Flushing, NY 11354",420,11354,40.770387,-73.828617,407,20,4100846,4044130020,88902,QN0707
Completed (59),12/20/2019,5:00 PM,7:30 PM,RNY Fair (FAIR),Winter Wonderland: Family Holiday Celebration,Brooklyn,Ingersoll Community Center,177 Myrtle Avenue,100,11201,40.693614,-73.982305,302,35,3257034,3020500001,1501,BK0202
Completed (59),12/23/2019,11:00 AM,1:00 PM,RNY General Presentation (GEN),RNY Presentation,Brooklyn,Mill Basin Active Adults,2075 East 68th Street,80,11234,40.618864,-73.910226,318,46,3237201,3084090001,69602,BK1802
Completed (59),1/6/2020,9:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Queens,P.S. 091Q,68-10 Central Avenue,750,11385,40.703885,-73.884161,405,32,4089566,4036830001,625,QN0503
Completed (59),1/8/2020,2:30 PM,4:30 PM,RNY General Presentation (GEN),Refresher Emergency Preparedness,Manhattan,Fort George VISTAS NORC,45 Fairview Avenue,21,10040,40.857413,-73.929432,112,10,1064114,1021700520,283,MN1202
Completed (59),1/8/2020,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,P.S. 194,3117 Avenue W,525,11229,40.596757,-73.933499,315,46,3201629,3073930001,570,BK1503
Completed (59),1/9/2020,8:30 AM,9:30 AM,RNY General Presentation (GEN),Emergency Preparedness for Parents,Queens,PS 182Q,153-27 88th Avenue,30,11432,40.70643,-73.803444,412,27,4594831,4097630023,236,QN1201
Completed (59),1/9/2020,2:00 PM,3:30 PM,RNY General Presentation (GEN),Adapt Community Network Workshop,Brooklyn,Greenpoint School,725 Leonard Street,25,11222,40.729202,-73.952872,301,33,3333079,3025740053,575,BK0101
Completed (59),1/9/2020,2:00 PM,3:00 PM,RNY General Presentation (GEN),Emergency Management Presentation - RNY,Brooklyn,Shelter Cafeteria,808 Saratoga Avenue,15,11212,40.660861,-73.915305,316,41,3082027,3035820042,894,BK1602
Completed (59),1/9/2020,8:00 PM,9:30 PM,RNY General Presentation (GEN),104th Precinct Civilian Patrol Council Meeting,Queens,St. Pancras Roman Catholic Church,72-22 68th Street,30,11385,40.701294,-73.884003,405,32,4090312,4037020033,629,QN0503
Completed (59),1/9/2020,6:00 PM,8:00 PM,RNY General Presentation (GEN),Community Education Council 12 - RNY Presentation,Brooklyn,CS 134 George Bristow,1330 Bristow Street,35,,,,,,,,,
Completed (59),1/9/2020,4:00 PM,6:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Manhattan,United Federation of Teachers,52 Broadway,200,10004,40.706493,-74.012725,101,1,1000814,1000220028,9,MN0101
Completed (59),1/10/2020,11:00 AM,12:30 PM,RNY General Presentation (GEN),RNY for the Consulate General of Ecuador ESOL Class,Queens,Consulate of Ecuador in Queens,24-15 Queens Plaza N,25,11101,40.751124,-73.940599,401,26,4458800,4004147501,3301,QN0105
Completed (59),1/10/2020,9:00 AM,9:45 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 106,180 Beach 35th Street,215,11691,40.593782,-73.767199,414,31,4441244,4158610035,992,QN1401
Completed (59),1/11/2020,9:00 AM,2:00 PM,RNY Fair (FAIR),Key to the City,Brooklyn,PS 94,5010 6th Avenue,20,11220,40.64366,-74.008252,307,38,3332126,3007920026,98,BK0703
Completed (59),1/13/2020,8:10 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Staten Island,PS 60,55 Merrill Avenue,400,10314,40.610073,-74.162129,502,50,5031151,5015800044,29104,SI0204
Completed (59),1/13/2020,10:00 AM,12:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Vandalia Senior Center,47 Vandalia Avenue,200,11239,40.649799,-73.88676,305,42,3348859,3044310100,105804,BK0504
Completed (59),1/15/2020,2:30 PM,4:00 PM,RNY General Presentation (GEN),Emergency Preparedness For Dialysis Facilities,Brooklyn,Davita Dialysis Center,550 Kingston Avenue,6,11203,40.660367,-73.942601,309,40,3418106,3048030037,810,BK0902
Completed (59),1/15/2020,8:00 AM,10:00 AM,RNY General Presentation (GEN),Parent Workshop Emergency Preparedness,Bronx,PS 110,580 Crotona Park South,15,10456,40.835286,-73.900751,203,15,2009718,2029320001,149,BX0301
Completed (59),1/15/2020,5:30 PM,7:30 PM,RNY General Presentation (GEN),Parent Association Meeting,Brooklyn,High School for Global Citizenship,883 Classon Avenue,20,11225,40.670349,-73.961695,309,35,3029686,3011870001,213,BK0901
Completed (59),1/15/2020,10:00 AM,3:00 PM,RNY Fair (FAIR),OMH Mental health Awareness Winter Bash Resource and Vendor Fair,Brooklyn,Kingsboro Psychiatric Center,681 Clarkson Avenue,45,11203,40.656255,-73.936608,309,40,3338977,3046170001,808,BK0902
Completed (59),1/16/2020,7:00 PM,8:45 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Brooklyn,MJM Faith Deliverance,897 Gates Avenue,20,11221,40.688631,-73.929679,303,36,3044571,3016320078,387,BK0302
Completed (59),1/16/2020,9:00 AM,9:45 AM,RNY General Presentation (GEN),Emergency Preparedness for High School,Queens,High School for Law Enforcement and Public Safety,116-25 Guy R. Brewer Boulevard,200,11434,40.686208,-73.784144,412,28,4464077,4123350049,278,QN1203
Completed (59),1/16/2020,8:30 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Bronx,PS/MS 29 The Melrose School,758 Courtlandt Avenue,340,10451,40.821515,-73.917279,201,17,2001736,2024030001,69,BX0102
Completed (59),1/16/2020,8:45 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS/MS 124 Q,129-15 150th Avenue,1100,11420,40.665058,-73.811701,410,28,4257530,4118820001,84602,QN1001
Completed (59),1/17/2020,9:00 AM,10:45 AM,RNY for Kids (KIDS),Ready Girl,Brooklyn,PS 91,532 Albany Avenue,250,11203,40.661886,-73.93994,309,40,3106599,3047940026,806,BK0902
Completed (59),1/17/2020,9:50 AM,12:30 PM,RNY for Kids (KIDS),Ready Girl,Manhattan,P.S.8 M,465 West 167th Street,480,10032,40.838954,-73.936838,112,10,1081842,1021120001,249,MN1201
Completed (59),1/17/2020,2:00 PM,3:15 PM,RNY for Kids (KIDS),Emergency Preparedness,Queens,Our World Neighborhood Charter School,"31-20, 37th Street",80,,,,,,,,,
Completed (59),1/20/2020,11:00 AM,3:00 PM,RNY Fair (FAIR),MLK Resource Fair,Manhattan,University Settlements Campos Plaza,611 East 13th Street,15,10009,40.728579,-73.978114,103,2,1077502,1003960010,28,MN0303
Completed (59),1/21/2020,4:30 PM,6:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation for Parents,Bronx,MS 118 DOE school,577 East 179th Street,30,10457,40.848339,-73.89308,206,15,2011995,2030690001,37504,BX0602
Completed (59),1/21/2020,3:00 PM,5:00 PM,RNY General Presentation (GEN),Staff Training,Bronx,Adapt Community Network,1822 Stillwell Avenue,30,10469,40.85873,-73.832901,211,13,2000000,2044110300,284,BX1161
Completed (59),1/22/2020,10:00 AM,11:00 AM,RNY General Presentation (GEN),Staten Island Independent Living Center,Staten Island,Staten Island Independent Living Center,470 Castleton Avenue,15,10301,40.633995,-74.097995,501,49,5003126,5001300001,67,SI0104
Completed (59),1/22/2020,8:15 AM,2:15 PM,RNY for Kids (KIDS),Emergency Preparedness for Tweens,Queens,I.S. 73,70-02 54 Avenue,2009,11378,40.729215,-73.893624,405,30,4058611,4025030031,49302,QN0501
Completed (59),1/23/2020,11:00 AM,12:00 PM,RNY General Presentation (GEN),Ready New York Presentation: Park Avenue Dialysis Center,Manhattan,Park Avenue Dialysis Center,116 East 124th Street,35,10035,40.804056,-73.938779,111,9,1054453,1017720064,196,MN1102
Completed (59),1/24/2020,8:00 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Staten Island,PS 32,232 Barlow Avenue,700,10308,40.558966,-74.155517,503,51,5070651,5054440012,14608,SI0302
Completed (59),1/25/2020,10:00 AM,12:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Queens,St. Luke Christian School and Multi-Purpose Center,133-24 233rd Street,100,11422,40.675843,-73.736474,413,31,4279497,4129720067,618,QN1305
Completed (59),1/25/2020,11:00 AM,3:00 PM,RNY Fair (FAIR),Include NYC Fair,Manhattan,Hotel Pennsylvania,401 7th Avenue,200,10001,40.749794,-73.991486,105,3,1015191,1008087501,101,MN0501
Completed (59),1/25/2020,10:30 AM,3:30 PM,RNY Fair (FAIR),Chinese New Year Festival,Manhattan,Sara D. Roosevelt Park,"Chrystie St &, Forsyth St",350,,,,,,,,,
Completed (59),1/26/2020,1:00 PM,4:00 PM,RNY Fair (FAIR),Borough President Oddo's Direct Connect 2020,Staten Island,Totenville High School,100 Luten Avenue,75,10312,40.528092,-74.192032,503,51,5082634,5066130001,198,SI0304
Completed (59),1/26/2020,12:30 PM,3:00 PM,RNY Fair (FAIR),Councilmember Ben Kallos State of the District Address Volunteer Fair,Manhattan,Rockefeller Research Laboratories,430 East 67th Street,50,10065,40.764263,-73.957515,108,5,1045570,1014610013,116,MN0801
Completed (59),1/27/2020,8:00 AM,1:00 PM,RNY Fair (FAIR),NYPD and City Agency Resource Fair,Manhattan,NYPD Headquarters,1 Police Plaza,300,10038,40.71234,-74.000895,101,1,1079143,1001190001,2901,MN0102
Completed (59),1/28/2020,2:30 PM,3:30 PM,RNY General Presentation (GEN),Parent Workshop,Queens,Ezra Jack Keats Pre-K Center,132-10 Jamaica Avenue,20,11418,40.702156,-73.820209,409,29,4196343,4093400104,14202,QN0902
Completed (59),1/28/2020,8:10 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Staten Island,PS 60,55 Merrill Avenue,400,10314,40.610073,-74.162129,502,50,5031151,5015800044,29104,SI0204
Completed (59),1/29/2020,8:30 AM,9:30 AM,RNY General Presentation (GEN),Ready New York Presentation: Park Avenue Dialysis Center,Manhattan,Park Avenue Dialysis Center,116 East 124th Street,35,10035,40.804056,-73.938779,111,9,1054453,1017720064,196,MN1102
Completed (59),1/29/2020,6:00 PM,8:00 PM,RNY Fair (FAIR),Red Hook Coastal Resiliency,Brooklyn,P.S. 676,27 Huntington Street,75,11231,40.677564,-74.005166,306,38,3008342,3005250001,59,BK0601
Completed (59),1/30/2020,6:00 PM,8:00 PM,RNY General Presentation (GEN),Notify/RNY ESOL Workshop,Queens,IS 61,98-50 59th Ave,30,,,,,,,,,
Completed (59),1/31/2020,1:00 PM,2:45 PM,RNY General Presentation (GEN),RNY - Emergency Management Presentation,Brooklyn,"Brownsville, Brooklyn",829 Saratoga Avenue,10,11212,40.660457,-73.91518,316,41,3082035,3035830006,894,BK1602
Completed (59),1/31/2020,8:30 AM,9:30 AM,RNY for Kids (KIDS),Emergency Preparedness,Brooklyn,Little Brooklyn Pre-K Center,219 25th Street,65,11232,40.659898,-73.997044,307,38,3336859,3006520070,101,BK0702
Completed (59),2/1/2020,9:30 AM,12:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL Workshop,Queens,Queens Adult Learning Center,27-35 Jackson Ave,60,11101,40.747962,-73.940046,402,26,4005127,4004320008,1902,QN0201
Completed (59),2/3/2020,6:00 PM,7:00 PM,RNY General Presentation (GEN),New Bridges Elementary Town Hall Meeting,Brooklyn,New Bridges Elementary,1025 Eastern Parkway,35,11213,40.669001,-73.934635,308,35,3037303,3013890035,35301,BK0802
Completed (59),2/3/2020,11:00 AM,1:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Queens,Rockaway Blvd. Senior Center,123-10 143rd Street,55,11436,40.674522,-73.795725,412,28,4261337,4120390044,182,QN1203
Completed (59),2/4/2020,2:15 PM,3:15 PM,RNY General Presentation (GEN),Emergency management,Queens,63-25 Dry Harbor Road,63-25 Dry Harbor Road,40,11379,40.721488,-73.873914,405,30,4069277,4029930012,66301,QN0504
Completed (59),2/5/2020,12:00 PM,2:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Manhattan,New Mount Zion Baptist Church,171 W 140th Street,420,10030,40.818126,-73.940536,110,9,1060061,1020090006,230,MN1002
Completed (59),2/6/2020,1:00 PM,3:00 PM,RNY General Presentation (GEN),Emergency Preparedness for Seniors,Queens,Shelton Senior Center,89-09 162 Street,24,11432,40.706571,-73.799061,412,27,4208882,4097610036,44601,QN1201
Completed (59),2/6/2020,11:00 AM,12:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL Workshop,Queens,PS 239,17-15 Weirfield Street,40,11385,40.699149,-73.903799,405,34,4435561,4035610001,553,QN0502
Completed (59),2/6/2020,8:30 AM,10:30 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 19,40-10 99th Street,200,11368,40.749108,-73.866362,404,21,4607476,4016070001,40901,QN0402
Completed (59),2/7/2020,6:00 PM,8:00 PM,RNY Hurricane (H),Disaster Preparedness,Bronx,IN-Tech Academy MS/High School 368,2975 Tibbett Avenue,25,10463,40.879368,-73.909896,208,11,2112838,2057160725,29302,BX0803
Completed (59),2/7/2020,9:00 AM,11:00 AM,RNY for Kids (KIDS),Ready Girl,Bronx,PS 97,1375 Mace Avenue,400,10469,40.862839,-73.846791,211,13,2052739,2044740001,314,BX1103
Completed (59),2/7/2020,8:30 AM,9:15 AM,RNY for Kids (KIDS),Emergency Preparedness,Brooklyn,Little Brooklyn Pre-K Center,305 3rd Avenue,85,11215,40.676679,-73.986646,306,39,3007687,3004540005,11901,BK0601
Completed (59),2/7/2020,8:30 AM,9:15 AM,RNY for Kids (KIDS),Ready NY for Tweens,Brooklyn,Central Brooklyn Ascend Middle School,1886 Nostrand Avenue,185,11226,40.639603,-73.948381,317,45,3328292,3052160040,828,BK1701
Completed (59),2/7/2020,8:00 AM,10:00 AM,RNY for Kids (KIDS),Achievement First Bushwick Middle School�s Career Day,Brooklyn,Bushwick Middle School,1300 Greene Ave,120,11237,40.697781,-73.919777,304,37,3075413,3032980001,431,BK0401
Completed (59),2/7/2020,10:00 AM,2:00 PM,RNY Fair (FAIR),Brooklyn Developmental Disability Council Super Developmental Disability Resource Fair,Brooklyn,Brooklyn Public Library - Kings Highway,"2115 Ocean Avenue, between Kings Highway & Quentin Road",75,11229,40.610054,-73.953417,315,48,3182576,3067830068,550,BK1502
Completed (59),2/8/2020,12:30 PM,2:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL,Queens,Queens Adult Learning Center,27-35 Jackson Avenue,62,11101,40.747962,-73.940046,402,26,4005127,4004320008,1902,QN0201
Completed (59),2/8/2020,9:00 AM,11:00 AM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Bronx,Public School 214,1970 West Farms Road,150,10460,40.839565,-73.880358,206,15,2094603,2030210038,60,BX0601
Completed (59),2/8/2020,10:00 AM,2:00 PM,RNY Fair (FAIR),5th Annual Braille Challenge,Queens,P721Q - John F. Kennedy Jr. School,54 -40 74th Street,125,11373,40.729939,-73.887482,405,30,4062864,4028030001,49302,QN0501
Completed (59),2/8/2020,9:00 AM,2:00 PM,RNY Fair (FAIR),Key to the City,Bronx,Junior High School 22 Jordan L Mott,270 E 167th Street,150,10456,40.833131,-73.914027,204,16,2002410,2024380050,175,BX0401
Completed (59),2/10/2020,10:00 AM,12:00 PM,RNY for Kids (KIDS),Emergency Preparedness for Kids,Brooklyn,PS 236,6302 Avenue U,60,11234,40.615998,-73.912989,318,46,3326821,3084640001,698,BK1802
Completed (59),2/10/2020,9:00 AM,10:00 AM,RNY for Kids (KIDS),Ready Girl,Staten Island,PS 31,55 Layton Avenue,200,10301,40.641595,-74.085135,501,49,5001150,5000490182,9,SI0101
Completed (59),2/11/2020,1:30 PM,3:30 PM,RNY General Presentation (GEN),Emergency Preparedness for Seniors,Manhattan,Independence Plaza Senior Center,310 Greenwich Street,26,10013,40.717604,-74.010667,101,1,1083243,1001420025,39,MN0102
Completed (59),2/11/2020,11:00 AM,12:30 PM,RNY General Presentation (GEN),RNY/Notify ESOL Workshop,Queens,PS 305,378 Seneca Ave,25,11385,40.707121,-73.914998,405,34,4538307,4034280015,53901,QN0502
Completed (59),2/11/2020,8:00 AM,10:15 AM,RNY for Kids (KIDS),Ready Girl,Queens,PS 100Q,111-11 118th Street,809,11420,40.679984,-73.822078,410,28,4250416,4116230001,102,QN1001
Completed (59),2/11/2020,8:30 AM,11:30 AM,RNY for Kids (KIDS),Emergency Preparedness for Kids,Brooklyn,PS 66,845 East 96th Street,50,11236,40.64883,-73.907774,318,42,3325418,3081290060,970,BK1803
Completed (59),2/12/2020,2:30 PM,3:30 PM,RNY General Presentation (GEN),Ready NY Presentation: Ridgewood Dialysis Center,Queens,Ridgewood Dialysis Center,385 Seneca Avenue,40,11385,40.707005,-73.914767,405,34,4081772,4034260001,53901,QN0502
Completed (59),2/13/2020,7:30 PM,9:30 PM,RNY General Presentation (GEN),City Island Emergency Preparedness Presentation,Bronx,Clipper Coffee,274 City Island Avenue,35,10464,40.84628,-73.786115,210,13,2100060,2056430007,51601,BX1003
Completed (59),2/13/2020,9:00 AM,10:00 AM,RNY General Presentation (GEN),Ready New York Presentation for Parents,Brooklyn,Bedford Stuyvesant Head Start,510 Quincy Street,15,11221,40.688127,-73.94045,303,36,3051048,3018110019,277,BK0302
Completed (59),2/13/2020,6:30 PM,7:30 PM,RNY General Presentation (GEN),Police Service Area 7 Community Council Meeting,Bronx,Police Service Area 7,737 Melrose Avenue,25,10455,40.820729,-73.915665,201,17,2101214,2024020017,69,BX0102
Completed (59),2/13/2020,6:30 PM,9:30 PM,RNY General Presentation (GEN),Ready NY Train the Trainer for CERT,Manhattan,Campos Plaza,611 East 13th Street,25,10009,40.728579,-73.978114,103,2,1077502,1003960010,28,MN0303
Completed (59),2/13/2020,8:00 AM,3:00 PM,RNY Fair/Presentation (FP),Food Bank Conference,Manhattan,NY Marriott Marquis,1535 Broadway,340,10036,40.758267,-73.985468,105,3,1024727,1010177501,119,MN0502
Completed (59),2/14/2020,9:00 AM,10:00 AM,RNY General Presentation (GEN),Town Hall Meeting,Queens,PS 88Q,60-85 Catalpa Avenue,25,11385,40.703779,-73.896374,405,30,4085173,4035340012,585,QN0502
Completed (59),2/14/2020,11:00 AM,1:00 PM,RNY General Presentation (GEN),Emergency Preparedness Presentation,Queens,Ozone Park Senior Center,103-02 101 AVE,33,11416,40.686027,-73.839777,409,29,4198392,4094210001,112,QN0904
Completed (59),2/14/2020,9:00 AM,1:00 PM,RNY for Kids (KIDS),Emergency Preparedness for Kids,Brooklyn,PS 771K at PS 225,1075 Oceanview Avenue,120,11235,40.579737,-73.956329,313,48,3245498,3087120056,61004,BK1303
Completed (59),2/18/2020,11:00 AM,1:00 PM,RNY General Presentation (GEN),Presentation for UN Staff,Manhattan,United Nations,1st Avenue and 46th Street,35,,,,,,,,,
Completed (59),2/20/2020,6:00 PM,8:00 PM,RNY Fair/Presentation (FP),Citizen Preparedness Training,Brooklyn,Seth Low Community Center,137 Belmont Avenue,100,11212,40.669205,-73.905172,316,41,3327015,3037270001,908,BK1602
Completed (59),2/21/2020,10:00 AM,12:00 PM,RNY General Presentation (GEN),Emergency Management Presentation,Queens,CPC Nanshan Senior Center,133-14 41st Avenue,80,11355,40.756979,-73.832178,407,20,4617434,4050410005,84902,QN0707
